1.10	-36.48	1016.50	437.50	341.25	-857.50
1.52	-36.30	1017.24	428.75	376.25	-770.00
2.44	-37.15	1016.81	420.00	350.00	-778.75
-0.37	-34.95	1016.93	428.75	358.75	-805.00
0.55	-38.06	1016.99	437.50	385.00	-805.00
1.04	-35.56	1016.63	428.75	367.50	-813.75
1.16	-36.48	1018.64	446.25	411.25	-796.25
2.26	-38.55	1022.42	420.00	411.25	-656.25
1.71	-32.82	1021.32	463.75	367.50	-761.25
-0.12	-35.62	1016.63	420.00	358.75	-796.25
0.49	-37.45	1016.75	446.25	350.00	-805.00
10.25	-36.54	983.44	192.50	131.25	-936.25
-1.71	-39.35	1011.50	437.50	358.75	-770.00
-0.79	-33.98	1015.22	393.75	385.00	-770.00
2.44	-38.74	1016.44	411.25	376.25	-770.00
1.34	-35.26	1016.38	455.00	402.50	-796.25
0.43	-34.77	1017.66	411.25	376.25	-796.25
0.55	-36.84	1016.57	376.25	376.25	-822.50
1.52	-36.72	1017.60	420.00	428.75	-813.75
1.28	-36.11	1016.63	411.25	358.75	-831.25
1.59	-36.72	1017.42	455.00	350.00	-831.25
2.20	-35.99	1016.75	437.50	350.00	-831.25
0.67	-36.66	1018.52	428.75	428.75	-770.00
0.73	-36.90	1017.79	402.50	411.25	-813.75
0.79	-36.84	1018.09	393.75	367.50	-805.00
2.01	-35.38	1017.36	402.50	411.25	-805.00
0.00	-35.93	1016.14	420.00	393.75	-778.75
1.10	-36.05	1016.44	437.50	332.50	-813.75
2.13	-36.23	1017.05	437.50	411.25	-778.75
2.68	-34.95	1011.62	437.50	376.25	-796.25
0.37	-36.36	1017.79	446.25	393.75	-787.50
0.55	-36.60	1017.24	428.75	411.25	-796.25
-0.24	-36.11	1016.69	472.50	376.25	-770.00
1.83	-35.75	1017.42	420.00	367.50	-787.50
-0.61	-36.54	1015.89	402.50	411.25	-822.50
1.46	-36.05	1016.02	463.75	376.25	-787.50
1.71	-36.90	1017.54	437.50	385.00	-805.00
0.55	-37.94	1012.17	411.25	358.75	-813.75
1.77	-35.62	1016.93	437.50	376.25	-831.25
0.12	-35.81	1017.54	463.75	420.00	-805.00
-0.67	-36.36	1021.99	437.50	367.50	-805.00
-0.61	-35.69	1017.30	446.25	385.00	-822.50
1.83	-36.17	1017.24	428.75	367.50	-805.00
0.12	-36.54	1017.97	428.75	376.25	-831.25
2.44	-35.50	1017.79	428.75	367.50	-787.50
